Ca,Mn,W,Ti,eta_10_mv,dissolution_ug_cm2h,dissolution_potential_v,cawо4_fraction,eg_electrons,eta_n,diss_n,score
0.11,0.549,0.339,0.002,240.7,0.0046,0.958,0.102,0.601,0.0,0.28184209547910916,0.14092104773955458
0.102,0.552,0.344,0.002,290.0,0.0042,0.948,0.089,0.552,0.3937699649059908,0.0,0.1968849824529954
0.104,0.532,0.362,0.002,271.9,0.0046,0.961,0.097,0.584,0.24920127596484598,0.28184209547910916,0.26552168572197754
0.06,0.507,0.432,0.002,284.2,0.0045,0.938,0.039,0.354,0.3474440866817565,0.21374865762247144,0.28059637215211397
0.109,0.602,0.288,0.0,314.3,0.0042,0.926,0.086,0.545,0.5878594202247652,0.0,0.2939297101123826
0.091,0.639,0.247,0.023,285.0,0.0046,0.898,0.051,0.425,0.3538338629885476,0.28184209547910916,0.3178379792338284
0.111,0.523,0.361,0.005,278.0,0.0047,0.974,0.111,0.637,0.29792332030412694,0.3484710442017884,0.3231971822529577
0.094,0.695,0.19,0.021,265.0,0.0049,0.873,0.042,0.407,0.19408945531877442,0.4775783377982718,0.33583389655852314
0.148,0.317,0.286,0.249,281.3,0.0047,1.077,0.148,1.0,0.3242811475696396,0.3484710442017884,0.33637609588571404
0.1,0.543,0.356,0.001,291.5,0.0046,0.952,0.09,0.554,0.40575079548122384,0.28184209547910916,0.3437964454801665
0.089,0.506,0.396,0.009,247.5,0.0052,0.959,0.078,0.527,0.05431309860772295,0.6616796236734576,0.35799636114059025
0.021,0.53,0.447,0.001,321.3,0.0043,0.93,0.005,0.12,0.6437699629091859,0.07290046241327129,0.3583352126612286
0.114,0.548,0.333,0.005,270.7,0.0049,0.962,0.108,0.623,0.23961661150465968,0.4775783377982718,0.35859747465146574
0.138,0.539,0.308,0.014,281.8,0.0048,0.98,0.138,0.769,0.32827475776138393,0.41369717347319174,0.3709859656172878
0.088,0.592,0.259,0.06,325.9,0.0043,0.916,0.05,0.447,0.6805111766732334,0.07290046241327129,0.37670581954325233
0.136,0.525,0.337,0.002,309.2,0.0045,0.981,0.136,0.775,0.5471245962689729,0.21374865762247144,0.38043662694572217
0.103,0.507,0.388,0.002,273.4,0.005,0.975,0.103,0.611,0.26118210654007895,0.540168884856109,0.400675495698094
0.095,0.535,0.369,0.0,290.2,0.0048,0.951,0.083,0.532,0.39536740898268846,0.41369717347319174,0.4045322912279401
0.009,0.675,0.316,0.001,274.4,0.005,0.908,0.001,0.04,0.2691693269235676,0.540168884856109,0.4046691058898383
0.047,0.565,0.287,0.101,275.6,0.005,0.927,0.016,0.248,0.27875399138375434,0.540168884856109,0.4094614381199317
0.076,0.625,0.24,0.059,246.6,0.0054,0.902,0.035,0.365,0.04712460026258312,0.7786039416602974,0.4128642709614403
0.07,0.588,0.273,0.069,292.6,0.0048,0.916,0.033,0.356,0.4145367379030615,0.41369717347319174,0.4141169556881266
0.103,0.539,0.356,0.002,285.3,0.0049,0.957,0.095,0.574,0.35623002910359425,0.4775783377982718,0.41690418345093305
0.044,0.473,0.336,0.148,320.8,0.0045,0.956,0.016,0.277,0.6397763527174415,0.21374865762247144,0.42676250516995645
0.069,0.599,0.258,0.073,280.4,0.005,0.912,0.031,0.348,0.31709264922449953,0.540168884856109,0.4286307670403043
