name,type,composition,d_band_center_ev,dissolution_potential_v,coordination,eg_electrons,mo_bond_energy_ev,mh_bond_energy_ev,n_metals,valence_electrons,mp_formation_energy,mp_band_gap,mp_e_above_hull,mp_material_id,d_band_corrected
HEO-A1-VO-rich,alkaline,"{""Fe"": 0.2, ""Co"": 0.19, ""Mn"": 0.09, ""V"": 0.15, ""W"": 0.18, ""Mo"": 0.19}",-1.539,0.689,6.0,0.39,3.269,2.03,6,6.91,,,,,-1.539
HEO-A2-V-dominant,alkaline,"{""Co"": 0.2, ""Fe"": 0.15, ""V"": 0.2, ""W"": 0.2, ""Mo"": 0.25}",-1.523,0.672,6.0,0.35,3.282,2.039,5,6.7,,,,,-1.523
NiFeMoV-amorphous,alkaline,"{""Ni"": 0.4, ""Fe"": 0.3, ""Mo"": 0.15, ""V"": 0.15}",-1.344,0.512,6.0,0.78,3.425,2.128,4,8.05,,,,,-1.344
NiFeV-LDH,alkaline,"{""Ni"": 0.55, ""Fe"": 0.3, ""V"": 0.15}",-1.297,0.475,6.0,0.96,3.462,2.151,3,8.65,,,,,-1.297
WC-Mo-enhanced,alkaline,"{""W"": 0.7, ""Mo"": 0.15, ""Co"": 0.15}",-1.655,0.915,6.0,0.15,3.176,1.973,3,6.45,,,,,-1.655
MnW-binary-1,acid,"{""Mn"": 0.61, ""W"": 0.32, ""Ti"": 0.07}",-1.943,0.939,6.0,0.0,2.946,1.828,3,6.47,,,,,-1.943
MnWTiNi-quad,acid,"{""Mn"": 0.45, ""W"": 0.22, ""Ti"": 0.16, ""Ni"": 0.17}",-1.828,0.874,6.0,0.204,3.038,1.886,4,6.81,,,,,-1.828
W-dominant,acid,"{""W"": 0.73, ""Mn"": 0.22, ""Cr"": 0.05}",-1.874,0.999,6.0,0.0,3.001,1.863,3,6.22,,,,,-1.874
MnW-CoTi,acid,"{""Mn"": 0.3, ""W"": 0.51, ""Co"": 0.13, ""Ti"": 0.06}",-1.796,0.934,6.0,0.13,3.063,1.902,4,6.57,,,,,-1.796
MnWTi-stable,acid,"{""Mn"": 0.43, ""W"": 0.32, ""Ti"": 0.2, ""Cr"": 0.05}",-1.976,0.987,6.0,0.0,2.919,1.812,4,6.03,,,,,-1.976
CaMnW-birnessite,acid,"{""Ca"": 0.08, ""Mn"": 0.56, ""W"": 0.31, ""Ti"": 0.05}",-2.263,1.062,6.16,0.0,2.69,1.668,4,6.14,,,,,-2.263
